MRVE3;MRV
MSPA3;Melhoramentos
MSPA4;Melhoramentos
MTRE3;Mitre Realty
MTSA4;Metisa
MULT3;Multiplan
MWET3;Wetzel
MWET4;Wetzel
MYPK3;Iochpe-Maxion
NATU3;NATURA
NEOE3;Neoenergia
NEXP3;Brasil Brokers
NGRD3;Neogrid
NORD3;Nordon
NUTR3;Nutriplant
ODPV3;Odontoprev
OFSA3;Ourofino Saúde Animal
OIBR3;Oi
OIBR4;Oi
ONCO3;Oncoclínicas
OPCT3;OceanPact
ORVR3;Orizon
OSXB3;OSX Brasil
PATI3;Panatlântica
PATI4;Panatlântica
PCAR3;Grupo Pão de Açúcar
PDGR3;PDG Realty
PDTC3;Padtec
PEAB3;Participações Aliança da Bahia
PEAB4;Participações Aliança da Bahia
PETR3;Petrobras
PETR4;Petrobras
PETZ3;Petz
PFRM3;Profarma
PGMN3;Pague Menos
PINE11;Banco Pine
PINE3;Banco Pine
PINE4;Banco Pine
PLAS3;Plascar
PLPL3;Plano&Plano
PMAM3;Paranapanema
PNVL3;Dimed
POMO3;Marcopolo
POMO4;Marcopolo
PORT3;Wilson Sons
POSI3;Positivo
PPLA11;PPLA
PRIO3;PetroRio
PRNR3;Priner
PSSA3;Porto Seguro
PSVM11;PORTO VM
PTBL3;Portobello
PTNT3;Pettenati
PTNT4;Pettenati
QUAL3;Qualicorp
RADL3;RaiaDrogasil
RAIL3;Rumo
RAIZ4;Raízen
RANI3;Irani
RAPT3;Randon
RAPT4;Randon
RCSL3;Recrusul
RCSL4;Recrusul
RDNI3;RNI
RDOR3;Rede D'Or
REAG3;REAG3
RECV3;PetroRecôncavo
REDE3;Rede Energia
RENT3;Localiza
RNEW3;Renova Energia
RNEW4;Renova Energia
ROMI3;Indústrias ROMI
RPAD5;Alfa Holdings
RPMG3;Refinaria de Manguinhos
RSID3;Rossi Residencial
RSUL4;Metalúrgica Riosulense
RVEE3;REVEE S.A.
SANB11;Banco Santander
SANB3;Banco Santander
SANB4;Banco Santander
SAPR11;Sanepar
SAPR3;Sanepar
SAPR4;Sanepar
SBFG3;Grupo SBF
SBSP3;Sabesp
SCAR3;São Carlos
SEER3;Ser Educacional
SEQL3;Sequoia Logística
SHOW3;Time For Fun
SHUL4;Schulz
SIMH3;Simpar
SLCE3;SLC Agrícola
SMFT3;Smart Fit
SMTO3;São Martinho
SNSY3;Sansuy
SNSY5;Sansuy
SOJA3;Boa Safra Sementes
SOND3;Sondotécnica
SOND6;Sondotécnica
SRNA3;Serena Energia
SUZB3;Suzano
SYNE3;SYN
TAEE11;Taesa
TAEE3;Taesa
TAEE4;Taesa
TASA3;Taurus
TASA4;Taurus
TCSA3;Tecnisa
TECN3;Technos
TELB3;Telebras
TELB4;Telebras
TEND3;Construtora Tenda
TFCO4;Track & Field
TGMA3;Tegma
TIMS3;TIM
TKNO4;Tekno
TOKY3;TOKY3
TOTS3;Totvs
TPIS3;Triunfo
TRAD3;Traders Club
TRIS3;Trisul
TTEN3;3tentos
TUPY3;Tupy
UCAS3;Unicasa
UGPA3;Ultrapar
UNIP3;Unipar
UNIP5;Unipar
UNIP6;Unipar
USIM3;Usiminas
USIM5;Usiminas
VALE3;Vale
VAMO3;Grupo Vamos
VBBR3;Vibra Energia
VITT3;Vittia
VIVA3;Vivara
VIVR3;Viver
VIVT3;Vivo
VLID3;Valid
VSTE3;LE LIS BLANC
VTRU3;VITRUBREPCOM
VULC3;Vulcabras
VVEO3;Viveo
WEGE3;WEG
WEST3;Westwing
WHRL3;Whirlpool
WHRL4;Whirlpool
WIZC3;Wiz Soluções
WLMM3;WLM
WLMM4;WLM
YDUQ3;YDUQS
ZAMP3;Zamp
